study_hours,attendance_pct,previous_marks,assignments_done,sleep_hours,internet_hours,final_score,pass_fail
4.37,59.26,48.32,2,9.43,5.75,61.8,1
9.56,77.1,47.29,8,8.9,0.88,100.0,1
7.59,93.65,93.44,4,8.54,0.28,100.0,1
6.39,86.61,47.47,7,4.33,7.95,70.68,1
2.4,90.33,49.04,6,4.04,1.86,70.83,1
2.4,82.94,83.16,7,5.27,0.43,79.77,1
1.52,84.61,61.48,6,7.98,1.52,73.45,1
8.8,92.46,84.37,2,6.47,0.31,100.0,1
6.41,62.48,34.58,1,6.41,3.13,59.98,1
7.37,74.47,64.13,6,9.31,6.42,91.38,1
1.19,61.06,32.35,2,9.37,2.73,41.72,1
9.73,99.38,34.39,2,9.46,3.55,98.14,1
8.49,97.2,93.45,1,5.88,5.4,90.31,1
2.91,51.97,39.75,3,8.15,4.07,48.9,1
2.64,85.28,67.27,7,5.63,6.89,73.93,1
2.65,96.26,58.78,0,5.14,6.93,63.83,1
3.74,59.03,54.31,0,5.11,0.08,58.07,1
5.72,78.4,92.99,4,6.05,6.22,87.5,1
4.89,95.77,31.53,10,6.58,3.69,79.71,1
3.62,51.7,76.47,4,8.99,7.91,66.49,1
6.51,84.87,97.44,10,4.72,3.87,100.0,1
2.26,64.87,69.21,0,8.41,7.9,61.43,1
3.63,96.22,95.58,5,7.19,6.04,94.25,1
4.3,98.55,33.66,0,5.73,1.99,58.12,1
5.1,97.21,59.32,4,6.96,4.31,80.4,1
8.07,73.71,48.21,8,5.8,7.94,79.15,1
2.8,93.1,81.16,4,7.58,6.86,73.39,1
5.63,92.23,98.69,5,6.6,0.78,100.0,1
6.33,65.96,47.96,7,4.99,5.65,69.27,1
1.42,91.45,75.79,10,4.7,2.76,83.87,1
6.47,51.85,43.87,0,7.28,0.06,59.07,1
2.53,79.81,69.57,1,9.41,3.23,78.81,1
1.59,61.5,62.48,8,6.06,1.88,61.91,1
9.54,56.03,98.04,2,8.4,6.55,97.04,1
9.69,53.85,72.6,5,7.95,2.7,97.41,1
8.28,84.81,54.47,4,9.59,6.62,84.23,1
3.74,66.99,37.99,10,8.93,0.0,78.36,1
1.88,86.24,40.59,1,7.4,2.46,50.45,1
7.16,53.27,45.77,6,7.94,1.93,83.2,1
4.96,65.76,47.57,3,9.39,1.87,70.09,1
2.1,76.97,89.54,0,6.4,0.55,70.4,1
5.46,89.54,69.29,3,5.96,1.5,82.33,1
1.31,65.94,66.64,5,4.06,4.44,63.0,1
9.18,81.29,38.03,6,8.96,2.33,86.24,1
3.33,94.3,90.21,6,8.81,3.34,88.51,1
6.96,80.79,80.6,6,4.63,3.01,91.28,1
3.81,61.65,34.74,2,7.46,7.01,44.77,1
5.68,51.22,79.55,5,6.78,7.24,84.57,1
5.92,93.5,68.05,7,4.71,3.94,85.37,1
2.66,51.06,35.72,3,9.88,2.64,56.81,1
9.73,93.74,62.08,7,5.29,0.85,100.0,1
7.98,76.45,63.93,1,4.4,7.63,70.66,1
9.46,96.95,41.6,9,7.57,0.48,100.0,1
9.05,89.94,96.2,8,8.43,2.38,100.0,1
6.38,99.9,89.5,8,4.19,2.38,100.0,1
9.3,67.54,76.83,7,7.95,2.56,100.0,1
1.8,88.36,62.36,9,7.19,1.31,83.67,1
2.76,70.1,58.82,9,4.62,6.27,71.6,1
1.41,73.99,75.57,0,5.04,0.98,60.11,1
3.93,81.38,68.18,1,7.41,5.08,65.34,1
4.5,93.68,34.36,5,5.78,0.99,67.97,1
3.44,99.2,65.88,9,9.63,0.56,93.63,1
8.46,88.41,86.45,4,8.91,7.28,100.0,1
4.21,70.89,62.15,8,9.9,1.52,72.37,1
3.53,71.07,33.64,4,5.56,6.57,53.18,1
5.88,86.88,85.04,1,9.82,4.36,90.39,1
2.27,61.94,44.1,9,6.59,0.62,63.55,1
8.22,55.52,48.1,3,6.09,7.64,75.28,1
1.67,67.73,41.53,8,4.3,1.98,60.08,1
9.88,64.36,53.12,0,4.32,6.88,80.0,1
7.95,64.82,82.97,10,8.15,1.35,100.0,1
2.79,61.68,66.36,0,6.75,6.83,60.76,1
1.05,52.1,44.34,6,5.36,0.11,60.54,1
8.34,50.89,91.45,10,7.68,4.09,100.0,1
7.36,99.39,91.57,2,5.52,6.16,90.21,1
7.56,71.39,90.94,9,7.47,7.48,97.97,1
7.94,69.22,46.72,1,6.16,7.27,67.13,1
1.67,83.98,61.59,8,8.94,6.56,74.28,1
4.23,60.91,98.95,2,8.92,7.11,82.68,1
2.04,97.5,84.04,1,6.86,1.59,73.96,1
8.77,89.32,31.9,7,6.1,2.27,86.14,1
6.61,54.47,34.56,9,6.18,2.31,61.8,1
3.98,70.88,62.48,5,8.83,3.02,82.47,1
1.57,93.96,93.65,5,5.97,3.15,80.1,1
3.8,97.24,67.71,9,5.25,4.36,85.28,1
3.93,73.37,64.85,10,4.51,1.28,79.28,1
7.57,80.67,37.38,6,6.8,5.53,83.0,1
6.74,58.35,75.97,6,6.89,1.34,73.22,1
8.98,99.56,87.55,10,9.05,2.48,100.0,1
5.25,61.58,56.63,5,5.33,4.03,68.84,1
2.08,97.14,84.29,3,6.29,6.37,73.53,1
7.42,82.48,97.51,10,8.85,5.92,100.0,1
7.85,80.39,44.26,8,8.94,5.16,82.42,1
6.05,75.63,66.63,5,6.31,1.25,88.21,1
7.94,61.53,50.1,3,6.75,4.38,76.3,1
5.44,58.83,85.5,2,5.82,0.7,86.49,1
5.7,61.02,70.43,3,9.6,3.02,76.11,1
4.85,59.32,74.42,2,4.71,3.31,66.21,1
1.23,88.98,85.85,1,9.6,0.32,83.52,1
1.97,67.51,57.72,4,8.1,2.19,65.9,1
1.28,52.89,94.06,1,7.19,7.65,52.74,1
6.73,98.46,67.31,5,4.2,7.63,82.22,1
3.83,94.19,41.06,2,6.85,2.82,68.42,1
5.58,96.39,78.71,5,6.45,0.34,99.0,1
9.17,99.75,85.53,10,4.97,1.43,100.0,1
3.24,58.69,52.17,9,7.94,3.14,55.15,1
4.69,69.81,90.0,8,9.83,7.58,92.2,1
7.8,87.91,93.43,0,7.37,1.13,92.66,1
3.06,84.8,49.38,5,8.29,6.11,57.15,1
1.69,57.69,98.85,8,4.41,0.87,65.03,1
3.61,90.79,39.85,10,6.51,7.85,74.83,1
2.45,61.22,44.14,3,4.7,3.05,52.33,1
9.37,61.19,42.9,10,7.68,6.2,85.18,1
8.27,76.85,92.58,1,9.63,2.74,100.0,1
6.7,79.65,75.8,3,7.97,5.02,89.9,1
8.84,79.0,40.65,0,4.46,1.54,82.81,1
8.23,54.57,60.82,2,6.13,1.17,71.74,1
2.68,93.87,73.07,9,7.3,7.5,81.35,1
9.03,63.28,35.84,8,6.42,7.34,69.21,1
5.85,56.48,91.77,9,9.0,7.1,90.2,1
8.27,94.44,86.25,4,8.89,5.0,100.0,1
9.06,97.78,65.36,10,7.67,6.47,100.0,1
3.86,93.11,97.7,5,6.24,0.55,95.19,1
1.99,90.48,59.24,2,5.53,2.68,67.88,1
3.05,82.76,98.89,4,4.64,2.51,87.63,1
4.84,77.54,76.75,10,6.13,5.09,98.96,1
8.36,54.35,74.43,7,6.48,2.85,89.19,1
8.75,70.42,41.62,5,8.05,1.19,79.66,1
1.06,68.63,91.73,3,7.95,4.77,71.5,1
5.6,62.99,59.92,1,4.42,6.52,58.73,1
4.76,86.17,41.36,8,6.37,3.06,83.04,1
3.0,74.79,30.88,0,5.09,1.06,48.92,1
2.08,54.05,69.18,0,4.94,1.57,52.69,1
4.04,61.01,66.92,3,8.96,1.9,70.2,1
9.49,84.16,80.35,6,4.25,2.4,100.0,1
3.91,53.81,92.32,0,6.52,5.14,68.64,1
5.67,92.56,35.56,8,5.01,4.81,71.83,1
7.33,74.76,81.2,3,9.28,5.57,98.94,1
4.27,74.03,43.12,2,7.34,2.9,59.04,1
9.75,79.62,90.07,0,5.39,6.59,94.08,1
9.66,91.23,87.33,9,7.01,1.63,100.0,1
3.27,67.39,67.86,3,8.39,3.75,61.45,1
5.48,83.9,79.72,8,9.75,6.41,95.91,1
3.71,78.29,52.0,9,5.32,1.44,70.44,1
3.56,63.35,62.98,5,9.32,0.88,78.59,1
1.33,93.93,87.51,5,9.61,7.07,74.99,1
6.49,89.87,62.15,0,9.5,2.74,86.64,1
5.52,82.92,55.05,9,7.81,5.47,89.16,1
1.46,92.53,64.59,1,7.78,0.2,73.66,1
3.51,93.36,87.98,10,6.42,5.52,93.92,1
9.17,85.42,53.46,5,8.51,2.53,93.15,1
3.16,91.85,42.16,1,7.19,0.45,62.26,1
2.3,84.87,79.84,2,8.06,4.88,80.62,1
5.41,84.01,87.82,3,6.57,1.93,86.21,1
9.87,80.93,37.04,10,8.39,3.09,90.43,1
3.18,87.64,46.79,4,8.95,0.64,75.55,1
7.05,57.93,39.94,8,4.88,1.18,70.72,1
7.85,94.04,54.36,3,9.0,2.38,85.61,1
3.14,93.59,61.52,10,7.24,0.72,79.43,1
7.55,51.46,82.42,8,9.07,7.29,88.03,1
4.31,91.29,75.58,10,6.59,0.05,95.15,1
6.69,56.44,73.46,9,6.27,3.87,88.11,1
6.7,66.76,54.67,2,9.49,0.99,83.51,1
5.82,87.18,88.9,7,5.51,2.46,99.37,1
1.81,58.04,62.99,0,9.07,7.41,51.47,1
8.52,90.9,98.54,10,6.9,1.29,100.0,1
3.89,91.61,74.39,8,7.08,7.73,86.17,1
2.68,75.37,38.84,8,5.85,1.65,71.26,1
1.37,50.32,77.33,9,7.44,5.93,67.94,1
6.32,64.35,52.76,1,5.95,4.37,64.44,1
7.1,80.85,78.04,3,4.24,7.08,77.86,1
1.15,99.06,34.87,7,5.63,4.43,53.29,1
5.61,81.59,42.24,6,4.04,4.28,73.91,1
3.04,62.99,89.9,0,9.87,1.56,78.66,1
6.81,81.7,45.9,4,9.79,1.33,86.0,1
2.57,77.0,88.59,6,6.37,7.33,76.2,1
7.22,88.99,49.55,3,8.37,2.62,90.74,1
4.48,55.35,75.0,0,6.07,2.98,64.18,1
9.43,88.05,78.59,8,8.03,6.08,100.0,1
2.24,77.06,65.89,4,8.83,2.71,71.0,1
4.07,98.15,51.37,10,9.68,7.62,80.2,1
2.02,67.09,44.89,1,6.4,5.9,51.4,1
9.32,81.63,32.32,7,8.7,4.78,88.25,1
8.9,96.6,51.28,10,5.6,7.05,97.08,1
3.32,55.13,75.72,1,9.94,0.4,71.89,1
6.94,96.86,95.68,2,4.15,2.06,97.36,1
8.35,84.39,90.98,9,7.62,3.72,100.0,1
6.0,53.39,83.62,0,7.96,1.82,84.11,1
5.77,65.05,85.19,10,8.13,5.95,96.19,1
3.18,85.41,76.55,1,4.72,7.35,67.73,1
1.84,53.37,48.22,6,9.63,3.39,63.93,1
9.07,79.11,93.5,9,5.09,2.74,100.0,1
9.1,67.29,76.95,1,7.74,7.69,86.05,1
6.7,81.05,69.23,5,5.34,3.56,84.28,1
4.05,52.29,37.77,2,5.84,3.91,50.67,1
4.14,93.58,61.29,3,7.28,2.81,61.66,1
7.53,98.67,62.23,10,6.5,7.28,97.44,1
9.07,98.44,90.52,7,4.96,4.55,100.0,1
8.98,87.48,68.27,2,5.03,6.1,95.89,1
8.02,56.5,56.63,9,6.51,6.49,82.58,1
6.78,87.91,98.38,5,8.54,2.73,98.52,1
1.76,51.23,37.75,0,9.39,3.47,44.17,1
2.45,51.11,59.58,6,4.5,6.79,50.14,1
9.09,66.18,32.94,7,6.36,2.91,82.43,1
6.46,74.43,81.79,10,4.6,6.35,93.27,1
1.08,88.52,94.27,7,4.1,7.53,80.73,1
1.91,84.16,49.6,2,7.97,4.99,55.41,1
6.97,72.3,90.08,9,7.61,5.93,99.0,1
1.05,63.68,50.46,0,4.98,6.44,35.65,0
2.45,99.86,93.75,8,5.4,6.76,91.25,1
5.94,71.31,82.78,5,4.14,3.16,87.19,1
7.23,72.57,86.34,10,9.01,0.41,100.0,1
6.87,58.18,31.26,8,9.85,3.22,74.61,1
3.02,89.74,97.4,6,4.81,5.39,87.9,1
7.41,84.68,80.87,0,5.39,3.6,94.57,1
3.14,61.04,51.33,0,9.21,5.99,53.45,1
3.93,54.12,88.06,5,9.56,2.86,82.02,1
7.72,84.02,49.71,4,6.52,5.08,75.42,1
6.85,82.73,91.09,8,4.3,1.49,96.55,1
8.64,63.66,37.88,1,4.24,5.99,65.58,1
6.92,97.54,79.26,7,7.44,4.37,100.0,1
6.11,57.55,67.85,10,6.36,1.63,85.52,1
1.84,71.62,36.76,4,4.17,2.34,50.13,1
4.31,97.18,46.93,1,7.5,5.99,65.49,1
3.39,70.99,30.87,9,4.07,3.86,57.34,1
3.2,81.93,62.81,10,8.72,1.73,86.1,1
9.76,69.88,51.09,10,5.84,7.74,82.33,1
4.54,63.71,71.89,5,4.24,5.72,77.02,1
9.03,99.2,50.81,9,7.53,7.66,93.23,1
6.68,70.47,50.99,7,6.39,3.42,83.27,1
8.15,94.7,82.02,3,9.84,3.8,95.92,1
5.52,61.5,33.37,1,7.27,7.18,57.51,1
6.19,60.66,93.2,10,5.65,4.2,98.09,1
5.43,51.56,89.66,4,8.26,5.66,82.52,1
2.76,82.58,76.75,1,5.63,2.02,66.39,1
7.5,68.43,71.53,1,9.43,3.57,85.88,1
3.53,93.22,92.46,5,6.25,0.99,85.39,1
1.22,73.66,42.97,10,7.3,1.65,64.4,1
6.81,98.41,35.53,9,4.3,0.01,91.37,1
2.59,59.28,46.77,8,6.56,0.31,69.11,1
9.46,93.43,85.62,3,8.99,7.82,100.0,1
9.59,88.83,32.43,5,8.83,1.94,84.46,1
9.23,88.55,70.8,6,5.35,5.31,100.0,1
4.33,92.24,99.68,10,5.36,6.71,97.52,1
1.14,88.05,89.9,5,8.9,4.41,68.54,1
9.35,81.31,66.5,7,9.58,1.23,100.0,1
4.85,56.56,34.45,3,4.57,5.82,51.78,1
9.7,51.63,88.2,0,6.7,4.8,93.97,1
9.67,96.04,71.93,6,6.02,5.85,96.34,1
8.68,80.83,38.05,2,9.22,6.16,61.87,1
3.65,89.83,36.57,5,4.5,7.8,60.84,1
4.47,74.08,93.67,1,5.27,4.59,80.01,1
8.66,55.87,76.84,8,8.51,2.73,88.84,1
3.85,56.26,88.05,0,4.31,5.19,60.67,1
2.53,84.28,91.53,5,6.96,0.55,99.81,1
6.01,71.52,70.02,5,6.65,7.18,77.28,1
9.43,60.03,66.22,4,6.01,0.96,93.39,1
7.26,74.58,60.13,4,6.37,2.62,79.62,1
6.13,53.21,52.19,0,7.18,6.53,49.93,1
1.87,79.1,60.42,9,4.97,4.78,68.29,1
6.54,63.45,84.17,4,7.43,3.15,86.02,1
9.91,89.88,72.13,1,8.83,3.79,96.82,1
2.26,65.52,92.48,6,8.56,6.84,76.42,1
5.66,72.76,61.04,2,4.92,2.72,73.58,1
8.9,50.58,72.5,3,4.9,6.96,77.98,1
7.67,53.62,74.19,2,5.61,0.71,75.3,1
7.27,69.62,71.42,2,6.17,6.21,81.53,1
7.32,74.0,79.18,3,6.45,6.78,75.21,1
4.24,80.0,46.62,4,8.08,1.45,61.46,1
3.64,64.58,65.87,0,4.34,3.44,63.93,1
8.28,84.75,37.3,3,4.21,1.32,80.1,1
8.29,93.01,56.92,10,6.35,5.65,96.37,1
8.8,88.99,64.14,7,8.18,4.28,92.22,1
9.22,51.98,75.66,9,5.16,5.08,89.19,1
5.6,74.03,96.54,6,7.85,1.57,95.96,1
5.51,55.25,72.05,8,5.56,1.69,73.69,1
8.18,62.1,82.05,4,9.32,0.33,93.25,1
6.85,99.33,65.44,9,9.37,2.58,100.0,1
7.32,57.12,74.39,3,5.78,4.48,86.6,1
8.16,74.94,34.97,7,5.38,6.86,73.03,1
9.01,80.91,47.81,8,6.47,5.34,93.14,1
4.04,85.12,55.33,6,5.44,3.48,64.29,1
4.38,77.98,63.07,6,8.03,7.62,78.27,1
1.85,50.49,33.2,4,8.96,5.75,41.86,1
6.2,66.32,39.8,3,8.04,7.44,65.78,1
1.32,75.89,49.38,9,8.95,4.22,65.92,1
5.19,54.39,98.01,0,6.38,2.07,85.88,1
5.88,67.53,53.19,9,4.94,0.42,76.76,1
3.58,51.66,63.74,9,8.43,5.81,74.46,1
6.32,53.93,43.73,6,6.16,0.97,69.81,1
1.27,69.85,72.75,0,8.03,2.42,60.94,1
1.34,56.64,49.65,0,5.62,4.26,43.1,1
8.4,78.38,44.49,4,4.49,4.52,73.36,1
4.24,84.47,66.16,8,9.96,4.8,85.72,1
2.14,90.03,30.39,5,4.94,1.33,58.45,1
5.7,60.01,30.54,2,9.93,3.04,63.25,1
7.93,58.37,45.33,2,9.86,4.94,73.72,1
2.94,55.23,32.57,6,8.76,7.76,55.64,1
6.61,81.82,37.56,5,7.96,5.82,78.54,1
1.77,85.32,53.72,8,7.47,7.38,61.6,1
1.47,51.58,86.18,5,9.2,6.1,71.86,1
5.78,96.81,70.04,4,5.74,4.73,79.52,1
5.87,52.6,65.89,9,6.81,1.54,85.73,1
6.74,77.06,50.54,6,7.72,5.33,82.94,1
7.53,85.45,95.22,0,6.47,4.99,83.31,1
9.78,93.55,57.79,6,6.56,4.82,97.94,1
5.65,85.7,36.1,2,5.98,3.92,63.83,1
3.91,90.09,73.19,8,7.39,4.23,82.82,1
8.16,66.97,37.97,5,9.1,2.68,86.33,1
3.44,90.74,54.17,8,5.21,4.15,71.75,1
4.95,54.01,65.52,4,9.61,1.58,71.65,1
